category;symbol;role_used;rows;first;last;sha256;path
SHARE_US;#TEXTRON;DISCOVERY;15630;2019.01.02 14:30;2026.08.19 19:00;2159a051e2e820eaec23eb719d9c0f32ca3ae60b50286387ee1e7e3e7cf530fe;C:\dev_EA_MT5\data\continuous_stage0006_discovery\TEXTRON_H1.csv
SHARE_US;#HOMEDEPOT;DISCOVERY;17121;2019.01.02 14:30;2026.08.19 19:00;3851245405e3ca7318e928d80bad8ee7413af01f4761407f929b297a4d444fa7;C:\dev_EA_MT5\data\continuous_stage0006_discovery\HOMEDEPOT_H1.csv
SHARE_US;#AVERYDENNISON;DISCOVERY;15497;2019.01.02 14:30;2026.08.19 19:00;713ba4ce2cb339402609692cd5e3c29a975cf15919b08e88db879fd80956c9ed;C:\dev_EA_MT5\data\continuous_stage0006_discovery\AVERYDENNISON_H1.csv
SHARE_US;#EVERGY;DISCOVERY;15474;2019.01.02 14:30;2026.08.19 19:00;ee1e7dd277553648bd36233bbef7f40d4125b53c5d95f4d18d9fbbfbc5f5bfc4;C:\dev_EA_MT5\data\continuous_stage0006_discovery\EVERGY_H1.csv
SHARE_US;#TYSONFOODS;DISCOVERY;15822;2019.01.02 14:30;2026.08.19 19:00;ba35d511390d4ecbcb6f06dbcf19af604a0825f65c5f8c664ee5ccf46df6b13d;C:\dev_EA_MT5\data\continuous_stage0006_discovery\TYSONFOODS_H1.csv
SHARE_US;#TEVA;DISCOVERY;13223;2019.01.02 14:30;2026.08.19 19:00;b3891d65af5264114404886486fdf35af88f062d98618f26ce10684cc83d8229;C:\dev_EA_MT5\data\continuous_stage0006_discovery\TEVA_H1.csv
SHARE_US;#PAPAJOHNS;DISCOVERY;15754;2019.01.02 14:30;2026.08.19 19:00;c03cd541f68107d661068fbc4a41dd72c15d44017618766fc133bc6b64c18aaa;C:\dev_EA_MT5\data\continuous_stage0006_discovery\PAPAJOHNS_H1.csv
SHARE_US;#FASTENAL;DISCOVERY;15730;2019.01.02 14:30;2026.08.19 19:00;630ead55b87fe29457c65a0380089684f59503c878b9933439768919b7f135df;C:\dev_EA_MT5\data\continuous_stage0006_discovery\FASTENAL_H1.csv
SHARE_EU;_ORANGE.FR;DISCOVERY;15755;2019.01.02 08:00;2026.08.19 15:30;b456b626d9b733f77288707712d3682a566cc7d49d2f2a06c54261f50995c302;C:\dev_EA_MT5\data\continuous_stage0006_discovery\ORANGE_FR_H1.csv
SHARE_EU;#NUTRIEN.CA;DISCOVERY;10347;2019.01.02 14:30;2026.08.19 19:00;77c32745a17f81c0b386ee5f007aa43b6c85c1ab01895d315eaad0a0dbe6b002;C:\dev_EA_MT5\data\continuous_stage0006_discovery\NUTRIEN_CA_H1.csv
SHARE_EU;_POSTEITALIANE.IT;DISCOVERY;13991;2019.01.02 08:00;2026.08.19 15:30;56bed552a66a127916792f6318043e882915f9d27cb56e8571c1d96683fbb551;C:\dev_EA_MT5\data\continuous_stage0006_discovery\POSTEITALIANE_IT_H1.csv
SHARE_EU;_AC.FR;DISCOVERY;15751;2019.01.02 08:00;2026.08.19 15:30;b52712c1a18bb0c8c87c09ec0215cff966225980f58a6f65ae1f75f614849ae5;C:\dev_EA_MT5\data\continuous_stage0006_discovery\AC_FR_H1.csv
ETF;#TQQQ;DISCOVERY;10762;2019.01.02 14:30;2026.08.19 19:00;61d58381bbac5654273346ea62497609e4cca39913308b4c37d8b74d6028a1cb;C:\dev_EA_MT5\data\continuous_stage0006_discovery\TQQQ_H1.csv
ETF;#XLF;DISCOVERY;10864;2019.01.02 14:30;2026.08.19 19:00;66ddac86cc26d6e6496be37947030c10591464cb92bf2a24cf95c797b9642d8f;C:\dev_EA_MT5\data\continuous_stage0006_discovery\XLF_H1.csv
ETF;#EWT;DISCOVERY;10907;2019.01.02 14:30;2026.08.19 19:00;b1cb68027fc6d04dcf9accfe38bf7f370b75097024fc4f789146478fba37f997;C:\dev_EA_MT5\data\continuous_stage0006_discovery\EWT_H1.csv
ETF;#SPY;DISCOVERY;10763;2019.01.02 14:30;2026.08.19 19:00;d9e6e60549361113550404421905133bba20b45ea097c5366de3925d9a2f3fa3;C:\dev_EA_MT5\data\continuous_stage0006_discovery\SPY_H1.csv
CRYPTO;BCHUSD;DISCOVERY;66270;2019.01.01 00:00;2026.08.19 23:00;b20b279d4079c50430404d474ff440e8ed4bc731c50d3dd74de5297ad7d67202;C:\dev_EA_MT5\data\continuous_stage0006_discovery\BCHUSD_H1.csv
CRYPTO;UNIUSD;DISCOVERY;47237;2021.02.01 00:00;2026.08.19 23:00;74b73a9f37200702add65a6ea35b5d4ace1240a079a8882825af8771e1002291;C:\dev_EA_MT5\data\continuous_stage0006_discovery\UNIUSD_H1.csv
CRYPTO;CRYPTO10;DISCOVERY;60124;2019.08.01 00:00;2026.08.19 23:00;23f2a3eead46f0aba4927714b8af5d39da80c1851ca9555525607321aa93ddea;C:\dev_EA_MT5\data\continuous_stage0006_discovery\CRYPTO10_H1.csv
COMMODITY;PALLADIUM;DISCOVERY;45062;2019.01.02 01:00;2026.08.19 21:00;8ef8be736fe919244ef6393741926139c79d453f71cb178351470f8eeb5f3ad3;C:\dev_EA_MT5\data\continuous_stage0006_discovery\PALLADIUM_H1.csv
COMMODITY;HEATING_OIL;DISCOVERY;44992;2019.01.02 01:00;2026.08.19 21:00;aa339a6ab87f6fc2ec9bf567eb50ab1ffcc5b980527f8e754d4543073b869203;C:\dev_EA_MT5\data\continuous_stage0006_discovery\HEATING_OIL_H1.csv
COMMODITY;COCOA;DISCOVERY;18710;2019.01.02 09:00;2026.08.19 18:00;d41090e29c7a75dcefa9402ee89d98dfa84dd4942373434758062130bc107f48;C:\dev_EA_MT5\data\continuous_stage0006_discovery\COCOA_H1.csv
COMMODITY;SUGAR#11;DISCOVERY;18476;2019.01.02 09:00;2026.08.19 18:00;de588e3fb1f34ca480bdb7c7914418f3947b5e5d4e74bf084dc8b00c20cbadf9;C:\dev_EA_MT5\data\continuous_stage0006_discovery\SUGAR11_H1.csv
INDEX_NEW;CANADA_60;DISCOVERY;20339;2019.01.02 14:30;2026.08.19 20:00;5674a8059a5914d481a3a16ad004d6374df7a7f92574082e7714c2de5f23b7e5;C:\dev_EA_MT5\data\continuous_stage0006_discovery\CANADA60_H1.csv
INDEX_NEW;NED_25;DISCOVERY;27023;2019.01.02 08:00;2026.08.19 21:00;b2e64db07bfc7aad8d792310446572e80350b3ae04e37b7bea2887d77173ea44;C:\dev_EA_MT5\data\continuous_stage0006_discovery\NED25_H1.csv
FX_NEW;EURNZD;DISCOVERY;53514;2019.01.02 00:00;2026.08.19 23:00;7f8c5411893801eb1089ff1f115b583603e89872b23fa25d99dd6c650d94a0f8;C:\dev_EA_MT5\data\continuous_stage0006_discovery\EURNZD_H1.csv
FX_NEW;USDTRY;DISCOVERY;53098;2019.01.02 00:00;2026.08.19 23:00;aa3584fd91549b8b2e63eaa58d9be4765b2c387404955e37d6533285235f14e7;C:\dev_EA_MT5\data\continuous_stage0006_discovery\USDTRY_H1.csv
FX_NEW;GBPSGD;DISCOVERY;53153;2019.01.02 00:00;2026.08.19 23:00;7fe50b41f4e480740d403cfe1ab0cc2cead1da6747054b82575e6bac879f3c9c;C:\dev_EA_MT5\data\continuous_stage0006_discovery\GBPSGD_H1.csv
BOND;EURO-BUND;DISCOVERY;26986;2019.01.02 01:00;2026.08.19 21:00;1e42b794cdf6796a044953635c2546079561431515119f374a27bd43f5e4cdac;C:\dev_EA_MT5\data\continuous_stage0006_discovery\EUROBUND_H1.csv
